,Product Title,Product URL,Price,Stock Level
36,Mechanicum: Tech-thralls Covenant,https://www.waylandgames.co.uk/mechanicum-tech-thralls-covenant-99123016005,£38.00,10+ in stock
37,Warriors of Chaos: Chaos Warriors,https://www.waylandgames.co.uk/warriors-of-chaos-chaos-warriors-99122701003,£42.00,10+ in stock
38,Mechanicum: Triaros Armoured Conveyor,https://www.waylandgames.co.uk/mechanicum-triaros-armoured-conveyor-99123016006,£45.60,10+ in stock
40,Warriors of Chaos: Champion of Chaos,https://www.waylandgames.co.uk/warriors-of-chaos-champion-of-chaos-99122701002,£15.00,10+ in stock
41,Legions Imperialis: Leman Russ Exterminator and Annihilator Squadron,https://www.waylandgames.co.uk/legions-imperialis-leman-russ-exterminator-and-annihilator-squadron-99122605012,£25.20,10+ in stock
42,Warriors of Chaos: Chaos Lord on Manticore,https://www.waylandgames.co.uk/warriors-of-chaos-chaos-lord-on-manticore-99122701001,£38.00,10+ in stock
43,Warriors of Chaos: Sorcerer of Chaos,https://www.waylandgames.co.uk/warriors-of-chaos-sorcerer-of-chaos-99122701012,£15.00,10+ in stock
45,Dwarfen Mountain Holds: Gyrocopters / Gyrobombers,https://www.waylandgames.co.uk/dwarfen-mountain-holds-gyrocopters-gyrobombers-99122705007,£38.00,10+ in stock
46,Mechanicum: Thallax Cohort,https://www.waylandgames.co.uk/mechanicum-thallax-cohort-99123016002,£38.00,10+ in stock
48,Mechanicum: Castellax Battle-automata Maniple,https://www.waylandgames.co.uk/mechanicum-castellax-battle-automata-maniple-99123016003,£38.00,10+ in stock
50,Dwarfen Mountain Holds: Dwarf Warriors,https://www.waylandgames.co.uk/dwarfen-mountain-holds-dwarf-warriors-99122705002,£42.00,10+ in stock
51,Skaven: Warp-Grinder,https://www.waylandgames.co.uk/skaven-warp-grinder-99120206047,£22.40,10+ in stock
52,Dwarfen Mountain Holds: Dwarf Quarrellers / Thunderers,https://www.waylandgames.co.uk/dwarfen-mountain-holds-dwarf-quarrellers-thunderers-99122705003,£42.00,10+ in stock
53,Skaven: Warplock Jezzails,https://www.waylandgames.co.uk/skaven-warplock-jezzails-99120206051,£25.20,10+ in stock
